"","hp","hp_growth","hp5","hp5_growth","mp","mp_growth","mp5","mp5_growth","ad","ad_growth","as","as_growth","ar","ar_growth","mr","mr_growth","ms","range"
"hp",1,0.428375355362847,0.296834837483579,0.150794550480899,-0.250243567945464,0.0165213901128821,-0.0843872757545397,-0.116186561273649,0.465601217155477,0.314561359069167,0.106305848048694,-0.0278108355883034,0.490916078949331,0.0560049257680309,0.244669242032593,0.39676083123616,0.449207945813359,-0.504245695842135
"hp_growth",0.428375355362847,1,0.209563577172398,0.259316187051268,-0.106087745390161,-0.00100103164758194,-0.0468841036807309,0.080218108748066,0.27618390450315,0.27239066074944,0.0158802870748244,0.077179593742782,0.121113578042518,0.163486748067993,0.242921630741533,0.284183517844032,0.185375170800565,-0.212804762800504
"hp5",0.296834837483579,0.209563577172398,1,0.48789472676743,0.00392326780976342,0.103350384369747,0.1125652590314,-0.0612698488715755,0.335296106466218,0.226138570872728,0.0446210119446311,-0.0139632258150325,0.380943666833027,0.0867188942046431,0.354275791158603,0.397976107622848,0.402237575932269,-0.526711620062883
"hp5_growth",0.150794550480899,0.259316187051268,0.48789472676743,1,-0.0687277887438344,0.0728163193007811,0.0431754261746417,-0.038947163402542,0.354496786069819,0.284451663912818,0.00607223731079159,0.155730701200097,0.324708732813861,0.232281145333663,0.345632695908435,0.490099342056646,0.215381795950922,-0.429372635556737
"mp",-0.250243567945464,-0.106087745390161,0.00392326780976342,-0.0687277887438344,1,0.551104310309569,0.166967561740947,0.744411830577623,-0.369696107458979,-0.174873479424085,-0.0881224426791193,-0.12429903144418,-0.425387518483541,-0.00104885748033695,-0.140654341903712,-0.39626834460068,-0.240912385652847,0.443973002606909
"mp_growth",0.0165213901128821,-0.00100103164758194,0.103350384369747,0.0728163193007811,0.551104310309569,1,-0.080257512617987,0.722935390281577,-0.033902944005782,0.0583161265687692,-0.0680185651127775,-0.0117745217779899,-0.0363442399407647,-0.0604958382659336,-0.00730524698517371,-0.105366117088822,-0.123998548217573,0.0753717174886114
"mp5",-0.0843872757545397,-0.0468841036807309,0.1125652590314,0.0431754261746417,0.166967561740947,-0.080257512617987,1,-0.0866326229323163,-0.0665536368504468,-0.0179460604476407,-0.0410726119487228,0.0843260566295988,-0.0597796494243889,0.00995955447667707,0.1017355665431,-0.0385027486176311,0.0239745696482126,0.0239137336074428
"mp5_growth",-0.116186561273649,0.080218108748066,-0.0612698488715755,-0.038947163402542,0.744411830577623,0.722935390281577,-0.0866326229323163,1,-0.261830075580958,-0.103018610478693,-0.106795836596744,-0.0719938732580467,-0.331421130056154,-0.0859227491152878,-0.107459567943621,-0.324786474978466,-0.275854109742702,0.360922721004909
"ad",0.465601217155477,0.27618390450315,0.335296106466218,0.354496786069819,-0.369696107458979,-0.033902944005782,-0.0665536368504468,-0.261830075580958,1,0.438919720449449,0.133692683647643,0.125471848975989,0.621993088413515,0.128225196136891,0.446651233334639,0.613052515382813,0.46507650500478,-0.677537383308937
"ad_growth",0.314561359069167,0.27239066074944,0.226138570872728,0.284451663912818,-0.174873479424085,0.0583161265687692,-0.0179460604476407,-0.103018610478693,0.438919720449449,1,-0.113843456794404,0.0626090919800071,0.322935138423793,0.336233660798603,0.177096934629565,0.376905499804542,0.241927984084751,-0.324352193196102
"as",0.106305848048694,0.0158802870748244,0.0446210119446311,0.00607223731079159,-0.0881224426791193,-0.0680185651127775,-0.0410726119487228,-0.106795836596744,0.133692683647643,-0.113843456794404,1,-0.0860576199410238,0.127991563328056,0.0127836584377563,0.127148142403852,0.163640156251586,0.129990663311119,-0.199427978831486
